replication_no,time,id,prev_WaitTime,curr_WaitTime,
1,34.546813,12,0.000000,0.000000,
1,55.763712,19,0.000000,0.000000,
1,67.476783,11,0.000000,0.000000,
1,69.496050,24,0.000000,0.000000,
1,77.997281,27,0.000000,0.000000,
1,78.730341,29,0.000000,0.000000,
1,82.654979,28,0.000000,0.000000,
1,86.570702,16,12.745262,12.745262,
1,94.650103,14,16.579639,16.579639,
1,105.110155,18,12.534187,12.534187,
1,107.146946,10,13.352532,13.352532,
1,111.976932,25,6.607224,6.607224,
1,114.386510,17,14.007313,14.007313,
1,114.962341,37,0.000000,0.000000,
1,115.585931,15,9.160563,9.160563,
1,116.989950,35,0.000000,0.000000,
1,120.727675,22,14.900364,14.900364,
1,131.280950,32,5.973849,5.973849,
1,134.939875,41,0.000000,0.000000,
1,136.668507,20,15.903175,15.903175,
1,144.779639,26,0.000000,0.000000,
1,148.829371,23,2.606640,2.606640,
1,150.915367,48,0.000000,0.000000,
1,151.743452,34,0.000000,0.000000,
1,158.134976,52,0.000000,0.000000,
1,161.391610,55,0.000000,0.000000,
1,163.371609,56,0.000000,0.000000,
1,166.365796,51,0.000000,0.000000,
1,167.914804,57,0.000000,0.000000,
1,171.051109,60,0.000000,0.000000,
1,172.597026,38,0.000000,0.000000,
1,178.316691,47,0.000000,0.000000,
1,178.767032,62,0.000000,0.000000,
1,181.432546,36,0.000000,0.000000,
1,185.486324,30,0.000000,0.000000,
1,189.496850,39,0.000000,0.000000,
1,191.055432,68,0.000000,0.000000,
1,192.356271,49,0.000000,0.000000,
1,195.022518,53,0.000000,0.000000,
1,195.465094,61,0.000000,0.000000,
1,202.806763,59,0.000000,0.000000,
1,214.263635,40,0.000000,0.000000,
1,214.837325,44,0.000000,0.000000,
1,221.023085,77,0.000000,0.000000,
1,221.562076,78,0.000000,0.000000,
1,223.555840,54,0.000000,0.000000,
1,227.738037,58,0.000000,0.000000,
1,235.000241,65,0.000000,0.000000,
1,243.294357,46,0.000000,0.000000,
1,244.538517,73,0.000000,0.000000,
1,250.354254,75,0.000000,0.000000,
1,253.586420,88,0.000000,0.000000,
1,255.946064,70,0.000000,0.000000,
1,257.474623,81,0.000000,0.000000,
1,257.488640,67,0.000000,0.000000,
1,258.253302,82,0.000000,0.000000,
1,258.487716,94,0.000000,0.000000,
1,267.616448,84,0.000000,0.000000,
1,278.431735,66,0.000000,0.000000,
1,278.822150,96,0.000000,0.000000,
1,289.238757,100,0.000000,0.000000,
1,289.839387,101,0.000000,0.000000,
1,291.430190,104,0.000000,0.000000,
1,291.653117,79,0.000000,0.000000,
1,298.800979,80,0.000000,0.000000,
1,305.235206,109,0.000000,0.000000,
1,314.555387,98,0.000000,0.000000,
1,316.631849,99,0.000000,0.000000,
1,316.696418,89,0.000000,0.000000,
1,321.861283,97,0.000000,0.000000,
1,323.721718,113,0.000000,0.000000,
1,330.036329,106,0.000000,0.000000,
1,339.023483,108,0.000000,0.000000,
1,343.661160,126,0.000000,0.000000,
1,344.984096,111,0.000000,0.000000,
1,356.400594,87,0.000000,0.000000,
1,357.312807,107,0.000000,0.000000,
1,360.730741,102,0.000000,0.000000,
1,362.710391,117,0.000000,0.000000,
1,364.899735,112,0.000000,0.000000,
1,367.595542,114,2.869205,2.869205,
1,373.564787,135,0.000000,0.000000,
1,378.263008,119,3.065960,3.065960,
1,388.868216,103,14.601311,14.601311,
1,390.236756,129,0.521652,0.521652,
1,393.763521,132,2.321170,2.321170,
1,400.165233,120,6.900993,6.900993,
1,402.105596,110,11.018478,11.018478,
1,402.193160,145,0.000000,0.000000,
1,407.133372,148,0.000000,0.000000,
1,407.377491,146,0.000000,0.000000,
1,411.203469,127,11.545547,11.545547,
1,413.029798,149,0.000000,0.000000,
1,422.237050,131,20.317827,20.317827,
1,422.661296,130,26.310685,26.310685,
1,426.944072,115,27.524193,27.524193,
1,427.150646,138,18.640723,18.640723,
1,427.967884,137,22.277779,22.277779,
1,434.213431,152,0.000000,0.000000,
1,435.714391,157,0.000000,0.000000,
1,443.315704,118,15.087921,15.087921,
1,454.107529,143,1.388948,1.388948,
1,454.898909,161,0.000000,0.000000,
1,455.286203,122,0.000000,0.000000,
1,458.221943,151,0.000000,0.000000,
1,463.221106,165,0.000000,0.000000,
1,463.620648,164,0.000000,0.000000,
1,466.650963,163,0.000000,0.000000,
1,470.464301,173,0.000000,0.000000,
1,474.283240,133,0.000000,0.000000,
1,476.907445,142,0.000000,0.000000,
1,477.446997,168,0.000000,0.000000,
1,481.786381,147,0.000000,0.000000,
1,482.499472,176,0.000000,0.000000,
1,483.464332,141,0.000000,0.000000,
1,493.973502,179,0.000000,0.000000,
1,496.385515,177,0.000000,0.000000,
1,506.446948,182,0.000000,0.000000,
1,508.020866,166,0.000000,0.000000,
1,509.564730,174,0.000000,0.000000,
1,513.580631,155,0.000000,0.000000,
1,513.953779,150,0.000000,0.000000,
1,528.595358,159,0.000000,0.000000,
