replication_no,time,id,prev_WaitTime,curr_WaitTime,
1,21.885604,10,0.000000,0.000000,
1,38.711444,15,0.000000,0.000000,
1,48.611329,20,0.000000,0.000000,
1,69.395980,23,0.000000,0.000000,
1,72.007195,13,0.000000,0.000000,
1,72.482957,26,0.000000,0.000000,
1,91.498135,30,0.000000,0.000000,
1,104.152433,21,0.000000,0.000000,
1,109.093689,12,0.000000,0.000000,
1,116.467363,36,0.000000,0.000000,
1,118.783976,39,0.000000,0.000000,
1,122.844839,31,0.000000,0.000000,
1,134.259260,40,0.000000,0.000000,
1,140.997709,33,0.000000,0.000000,
1,148.287523,44,0.000000,0.000000,
1,150.063922,50,0.000000,0.000000,
1,155.208135,24,12.737261,12.737261,
1,156.874463,54,0.000000,0.000000,
1,164.029656,28,26.016103,26.016103,
1,172.799146,42,0.000000,0.000000,
1,174.162315,46,0.000000,0.000000,
1,175.230770,43,0.000000,0.000000,
1,184.637931,45,0.000000,0.000000,
1,185.695097,16,48.032236,48.032236,
1,192.805834,67,0.000000,0.000000,
1,198.625704,66,0.000000,0.000000,
1,207.782028,71,0.000000,0.000000,
1,210.166094,74,0.000000,0.000000,
1,217.993514,63,0.000000,0.000000,
1,219.222066,72,0.000000,0.000000,
1,220.077727,64,0.000000,0.000000,
1,223.432841,79,0.000000,0.000000,
1,227.408267,35,36.354109,36.354109,
1,228.809227,80,0.000000,0.000000,
1,235.787259,37,37.443869,37.443869,
1,237.925848,69,0.000000,0.000000,
1,245.516780,41,43.421986,43.421986,
1,253.001433,89,0.000000,0.000000,
1,253.608903,93,0.000000,0.000000,
1,256.494129,83,0.000000,0.000000,
1,259.254410,48,47.432162,47.432162,
1,266.704649,76,0.000000,0.000000,
1,275.133333,87,0.000000,0.000000,
1,279.414492,86,0.000000,0.000000,
1,280.017546,91,0.000000,0.000000,
1,286.451864,92,0.000000,0.000000,
1,287.681290,102,0.000000,0.000000,
1,290.633709,52,63.570585,63.570585,
1,290.906938,85,0.000000,0.000000,
1,292.123602,55,62.792569,62.792569,
1,296.228611,103,0.000000,0.000000,
1,296.295161,95,0.000000,0.000000,
1,302.757127,90,0.000000,0.000000,
1,303.832925,51,68.325577,68.325577,
1,306.601754,60,72.338728,72.338728,
1,306.790339,110,0.000000,0.000000,
1,314.793511,47,66.655777,66.655777,
1,321.433725,62,70.079136,70.079136,
1,322.588157,115,0.000000,0.000000,
1,327.329024,120,0.000000,0.000000,
1,330.211458,105,0.000000,0.000000,
1,336.414110,61,68.315144,68.315144,
1,340.160601,49,81.044877,81.044877,
1,346.408860,116,0.000000,0.000000,
1,349.180959,128,0.000000,0.000000,
1,355.657061,125,0.000000,0.000000,
1,355.732850,68,76.790460,76.790460,
1,358.420245,118,0.000000,0.000000,
1,365.969942,77,63.556518,63.556518,
1,370.111140,134,0.000000,0.000000,
1,371.684251,123,0.000000,0.000000,
1,380.712514,73,67.864093,67.864093,
1,380.732192,121,0.000000,0.000000,
1,386.926789,143,0.000000,0.000000,
1,389.208613,124,0.000000,0.000000,
1,391.607342,122,0.000000,0.000000,
1,393.668153,142,0.000000,0.000000,
1,398.890261,133,0.000000,0.000000,
1,405.270628,82,81.697768,81.697768,
1,410.762935,147,0.000000,0.000000,
1,412.583949,96,70.557545,70.557545,
1,416.641940,140,0.000000,0.000000,
1,419.887959,101,63.399857,63.399857,
1,420.362696,141,0.000000,0.000000,
1,420.446354,136,0.000000,0.000000,
1,421.454490,94,85.671254,85.671254,
1,426.089426,144,0.000000,0.000000,
1,426.684637,155,0.000000,0.000000,
1,427.622628,139,0.000000,0.000000,
1,430.541695,150,0.000000,0.000000,
1,436.927865,153,0.000000,0.000000,
1,440.429311,104,74.457265,74.457265,
1,443.728426,159,0.000000,0.000000,
1,444.054169,109,67.913067,67.913067,
1,448.584568,98,62.183765,62.183765,
1,455.807297,108,46.526306,46.526306,
1,461.528116,158,0.000000,0.000000,
1,468.424772,156,0.000000,0.000000,
1,469.814868,154,0.000000,0.000000,
1,472.503066,170,0.000000,0.000000,
1,476.597048,112,38.245572,38.245572,
1,478.024639,126,52.607419,52.607419,
1,486.407738,160,0.000000,0.000000,
1,489.364142,114,50.466008,50.466008,
1,491.838218,162,0.000000,0.000000,
1,492.293184,178,0.000000,0.000000,
1,497.336347,135,47.018100,47.018100,
1,500.103838,167,0.000000,0.000000,
1,502.129381,172,0.000000,0.000000,
1,508.992855,183,0.000000,0.000000,
1,516.411126,149,38.690896,38.690896,
1,518.759659,171,0.000000,0.000000,
1,523.777802,185,0.000000,0.000000,
1,524.957096,130,69.632612,69.632612,
1,525.354687,169,0.000000,0.000000,
1,526.266834,146,46.563266,46.563266,
1,529.136986,175,0.000000,0.000000,
1,532.481922,184,0.000000,0.000000,
1,535.826969,180,0.000000,0.000000,
1,535.871874,148,46.215075,46.215075,
1,542.034626,181,0.000000,0.000000,
1,545.666123,152,45.597363,45.597363,
1,550.261545,192,0.000000,0.000000,
1,554.280101,194,0.000000,0.000000,
1,554.448847,138,62.424352,62.424352,
1,558.110215,186,0.000000,0.000000,
1,561.210269,163,30.417538,30.417538,
1,561.548081,198,0.000000,0.000000,
1,564.065801,199,0.000000,0.000000,
1,568.036983,173,29.081250,29.081250,
1,571.242553,190,0.000000,0.000000,
1,574.406258,165,30.521254,30.521254,
1,580.150584,196,0.000000,0.000000,
1,589.720461,176,40.339353,40.339353,
1,590.198076,179,28.484601,28.484601,
1,594.198248,197,0.000000,0.000000,
1,596.205190,209,0.000000,0.000000,
1,602.960037,210,0.000000,0.000000,
1,608.181622,187,13.755607,13.755607,
1,608.913683,204,0.000000,0.000000,
1,611.620476,202,0.000000,0.000000,
1,614.171845,216,0.000000,0.000000,
1,615.942946,203,0.000000,0.000000,
1,620.708675,217,0.000000,0.000000,
1,622.526094,189,16.009907,16.009907,
1,625.874848,208,0.000000,0.000000,
1,628.007016,222,0.000000,0.000000,
1,628.661903,205,0.000000,0.000000,
1,635.402072,212,0.000000,0.000000,
1,637.246614,224,0.000000,0.000000,
1,639.278988,225,0.000000,0.000000,
1,639.872465,223,0.000000,0.000000,
1,641.242769,195,9.145142,9.145142,
1,641.686763,215,0.000000,0.000000,
1,644.904705,201,7.719449,7.719449,
1,646.009571,193,10.238555,10.238555,
1,646.017418,229,0.000000,0.000000,
1,649.304694,230,0.000000,0.000000,
1,651.381801,228,0.000000,0.000000,
1,652.407913,200,8.637584,8.637584,
1,657.246773,191,0.000000,0.000000,
